family_id,relative_path,line,status,protected_area,diagnostic_reproduced,legacy_syntax,modern_syntax,exact_transformation_rule,source_exact_modern_line_match,vanilla_exact_modern_line_match,scope_value_proof,sha_before,sha_after_family,sha_after_global_sweep,inverse_validation
API_IS_RULER,common/dynamic_country_names/00_dynamic_country_names.txt,4187,BOUNDED_EXCEPTION,EXISTING_PROTECTED_CONCURRENT_WORK,true,is_ruler = yes,EXCLUDED_UNCHANGED,is_ruler = <yes|no> -> is_ruler_of_own_country = <same bool>,false,false,GLOBAL_API_SIGNATURE_AND_CHARACTER_SCOPE_PROVEN,788B02DEF9C6E16125DC33024E701B0BAB14B4B00569E36ABB050944028DD7C4,788B02DEF9C6E16125DC33024E701B0BAB14B4B00569E36ABB050944028DD7C4,788B02DEF9C6E16125DC33024E701B0BAB14B4B00569E36ABB050944028DD7C4,NOT_APPLICABLE_EXCLUDED
API_IS_RULER,common/journal_entries/00_assassination.txt,160,SAFE_CANDIDATE,,true,is_ruler = no,is_ruler_of_own_country = no,is_ruler = <yes|no> -> is_ruler_of_own_country = <same bool>,true,true,DIRECT_HOMOLOGOUS_MODERN_LINE_SAME_SCOPE_AND_VALUE,C03121CFFFB9F60812874EC604C5F2FF7830B381151CFF49E36C519FB5AFBD02,FB6FFC5DA625317234241519F3C924AC11C03F9405BEE8BFD1A55F656E7A60D3,FB6FFC5DA625317234241519F3C924AC11C03F9405BEE8BFD1A55F656E7A60D3,PASS
API_IS_RULER,common/journal_entries/00_assassination.txt,175,SAFE_CANDIDATE,,true,is_ruler = no,is_ruler_of_own_country = no,is_ruler = <yes|no> -> is_ruler_of_own_country = <same bool>,true,true,DIRECT_HOMOLOGOUS_MODERN_LINE_SAME_SCOPE_AND_VALUE,C03121CFFFB9F60812874EC604C5F2FF7830B381151CFF49E36C519FB5AFBD02,FB6FFC5DA625317234241519F3C924AC11C03F9405BEE8BFD1A55F656E7A60D3,FB6FFC5DA625317234241519F3C924AC11C03F9405BEE8BFD1A55F656E7A60D3,PASS
API_HAS_ROLE,common/journal_entries/00_fascism.txt,119,SAFE_CANDIDATE,,true,has_role = politician,has_role_of_type = politician,has_role = <general|admiral|agitator|politician|executive> -> has_role_of_type = <same value>,true,true,DIRECT_HOMOLOGOUS_MODERN_LINE_SAME_SCOPE_AND_VALUE,615F87C4A0267D74275963F01EE71EB9DA7F9485AA5D18FAD1297816167DA754,5E746883A3301B9368D9E39636347B8ECCEBB2DC5B081B01260F3C9ACB3326EF,5E746883A3301B9368D9E39636347B8ECCEBB2DC5B081B01260F3C9ACB3326EF,PASS
API_HAS_ROLE,common/journal_entries/00_fascism.txt,120,SAFE_CANDIDATE,,true,has_role = agitator,has_role_of_type = agitator,has_role = <general|admiral|agitator|politician|executive> -> has_role_of_type = <same value>,true,true,DIRECT_HOMOLOGOUS_MODERN_LINE_SAME_SCOPE_AND_VALUE,615F87C4A0267D74275963F01EE71EB9DA7F9485AA5D18FAD1297816167DA754,5E746883A3301B9368D9E39636347B8ECCEBB2DC5B081B01260F3C9ACB3326EF,5E746883A3301B9368D9E39636347B8ECCEBB2DC5B081B01260F3C9ACB3326EF,PASS
API_HAS_ROLE,common/journal_entries/00_fascism.txt,202,SAFE_CANDIDATE,,true,has_role = agitator,has_role_of_type = agitator,has_role = <general|admiral|agitator|politician|executive> -> has_role_of_type = <same value>,true,true,DIRECT_HOMOLOGOUS_MODERN_LINE_SAME_SCOPE_AND_VALUE,615F87C4A0267D74275963F01EE71EB9DA7F9485AA5D18FAD1297816167DA754,5E746883A3301B9368D9E39636347B8ECCEBB2DC5B081B01260F3C9ACB3326EF,5E746883A3301B9368D9E39636347B8ECCEBB2DC5B081B01260F3C9ACB3326EF,PASS
API_HAS_ROLE,common/journal_entries/00_fascism.txt,489,SAFE_CANDIDATE,,true,has_role = politician,has_role_of_type = politician,has_role = <general|admiral|agitator|politician|executive> -> has_role_of_type = <same value>,true,true,DIRECT_HOMOLOGOUS_MODERN_LINE_SAME_SCOPE_AND_VALUE,615F87C4A0267D74275963F01EE71EB9DA7F9485AA5D18FAD1297816167DA754,5E746883A3301B9368D9E39636347B8ECCEBB2DC5B081B01260F3C9ACB3326EF,5E746883A3301B9368D9E39636347B8ECCEBB2DC5B081B01260F3C9ACB3326EF,PASS
API_HAS_ROLE,common/journal_entries/00_fascism.txt,490,SAFE_CANDIDATE,,true,has_role = agitator,has_role_of_type = agitator,has_role = <general|admiral|agitator|politician|executive> -> has_role_of_type = <same value>,true,true,DIRECT_HOMOLOGOUS_MODERN_LINE_SAME_SCOPE_AND_VALUE,615F87C4A0267D74275963F01EE71EB9DA7F9485AA5D18FAD1297816167DA754,5E746883A3301B9368D9E39636347B8ECCEBB2DC5B081B01260F3C9ACB3326EF,5E746883A3301B9368D9E39636347B8ECCEBB2DC5B081B01260F3C9ACB3326EF,PASS
API_HAS_ROLE,common/journal_entries/00_fascism.txt,507,SAFE_CANDIDATE,,true,has_role = politician,has_role_of_type = politician,has_role = <general|admiral|agitator|politician|executive> -> has_role_of_type = <same value>,true,true,DIRECT_HOMOLOGOUS_MODERN_LINE_SAME_SCOPE_AND_VALUE,615F87C4A0267D74275963F01EE71EB9DA7F9485AA5D18FAD1297816167DA754,5E746883A3301B9368D9E39636347B8ECCEBB2DC5B081B01260F3C9ACB3326EF,5E746883A3301B9368D9E39636347B8ECCEBB2DC5B081B01260F3C9ACB3326EF,PASS
API_HAS_ROLE,common/journal_entries/00_fascism.txt,508,SAFE_CANDIDATE,,true,has_role = agitator,has_role_of_type = agitator,has_role = <general|admiral|agitator|politician|executive> -> has_role_of_type = <same value>,true,true,DIRECT_HOMOLOGOUS_MODERN_LINE_SAME_SCOPE_AND_VALUE,615F87C4A0267D74275963F01EE71EB9DA7F9485AA5D18FAD1297816167DA754,5E746883A3301B9368D9E39636347B8ECCEBB2DC5B081B01260F3C9ACB3326EF,5E746883A3301B9368D9E39636347B8ECCEBB2DC5B081B01260F3C9ACB3326EF,PASS
