system,script_or_object,file,function,inputs,decision_logic,technology_dependencies,resource_dependencies,economic_dependencies,strategic_dependencies,DLC_dependencies,risk,notes
DESIGN,engine dynamic template generator,common/defines/00_ai.txt:548,Creates country ship templates dynamically,available ship types; allowed modifications; ai_weight; max complexity; existing template score,Only creates a template when candidate modification score >= 1.5x best existing template; 0.25 random factor,all ship type/modification tech gates,market goods prices via ship_mod_market_multiplier,design complexity and construction cost,active AI strategy/navy law,BASE_GAME_FREE_1_13,HIGH,Method A: dynamic generation; default engine templates also exist. No static ai_ship_template file family exists.
DESIGN,ship_type.ai_weight,common/ship_types/00_ship_types.txt,Select hull/class,per-type ai_weight; obsolescence; group desire,Scores eligible non-obsolete types inside desired ship group,unlocking_technologies; is_obsolete; is_very_obsolete,NONE,construction/upkeep cost,ship_group_weights,BASE_GAME_FREE_1_13,MEDIUM,
DESIGN,ship_modification.ai_weight,common/ship_modifications/00_ship_modifications.txt; 01_utility_modifications.txt,Select armor/guns/propulsion/range/utility,base weight; scripted multipliers; incompatibility; tech availability,Fills allowed slots within max complexity; blocked/locked modifications excluded,unlocking_technologies,construction goods market demand,market buy/sell ratios,navy doctrine scripted multipliers,BASE_GAME_FREE_1_13,HIGH,
DESIGN,ship_mod_market_multiplier,common/script_values/ai_script_values.txt:568,Makes modification choice resource-sensitive,ship_modification_market_demand_ratio,Cheap/available inputs can receive 1.5x; expensive ratio >=1.75 falls to 0.1x,NONE,all modification construction goods,market demand/buy-sell ratio,NONE,BASE_GAME_FREE_1_13,MEDIUM,Mitigates but does not eliminate NO_INPUT_BOOTSTRAP.
DESIGN,max_ship_design_complexity,common/ai_strategies/00_default_strategy.txt:4698,Caps total modification levels,country rank; navy model law,"Base 10, rank adjustment, law adjustment",indirect via laws,NONE,limits expensive templates,merchant/Jeune Ecole/professional navy,BASE_GAME_FREE_1_13,MEDIUM,
DESIGN,SHIP_DESIGN_UTILITY_MOD_MIN_SCORE,common/defines/00_ai.txt:553,Controls utility slot fill,utility ai_weight; number of free utility slots,"Minimum 2.0, divided by 2 per additional free slot",NONE,NONE,NONE,NONE,BASE_GAME_FREE_1_13,MEDIUM,
RETROFIT,SHIP_RETROFIT_MIN_SCORE_FACTOR,common/defines/00_ai.txt:549,Replaces existing design,current template score; target template score,Retrofit only if target >=2.0x current; GUI queues retrofit orders,target template validity,retrofit construction goods,built ship cost allocation,NONE,BASE_GAME_FREE_1_13,MEDIUM,
OBSOLESCENCE,ship_type.is_obsolete/is_very_obsolete,common/ship_types/00_ship_types.txt,Retires old hull classes,country researched technologies,Marks types obsolete; UI can show them; AI disbands in bounded batches,explicit technology triggers,NONE,crew/construction replacement tradeoff,NONE,BASE_GAME_FREE_1_13,MEDIUM,Risk: progression rewires can cause obsolete-design churn.
OBSOLESCENCE,DISBAND_OBSOLETE_SHIPS_*,common/defines/00_ai.txt:572,Bounds decommissioning,crew demand; wanted ships; total fleet,Max 5 and 5% per update; very obsolete group threshold 0.5,NONE,NONE,sailor availability,wanted group counts,BASE_GAME_FREE_1_13,LOW,
SHIPBUILDING,wanted_navy_size,common/ai_strategies/00_default_strategy.txt:4631,Determines desired naval administration/ship count,wanted_navy_size_script_value; country power/economy/journal logic,Additive across active strategies,navigation/admiralty affect infrastructure access,NONE,rank and spending ambitions,journal and country strategy,BASE_GAME_FREE_1_13,HIGH,
