Region,Owner_TAG,Country,State_ID,State_Name,Building_ID,Building_Name,Target_Level,Confidence,Economic_Role,Domestic_Demand,Export_Orientation,Industry_Form,Scale_Evidence,Level_Rationale,Tech_Distribution_Review,Map_Rework_Risk,Source_1,Source_2,Notes
EAST_ASIA_SOUTHEAST_ASIA,CHI,China,STATE_BEIJING,Beijing,building_forbidden_city,Forbidden City,1,HIGH,DOMESTIC_NATIONAL,MILITARY_STATE_DEMAND,NONE,OTHER,Imperial palace complex and administrative core,Unique pre-1776 monument; one level represents the Forbidden City itself.,NO,NONE,https://www.cambridge.org/core/books/abs/economic-history-of-china/maturation-of-the-market-economy-1550-to-1800/BB29D69C28CCD393A63409CDCD339328,,MONUMENT
EAST_ASIA_SOUTHEAST_ASIA,CHI,China,STATE_BEIJING,Beijing,building_government_administration,Government Administration,3,HIGH,DOMESTIC_NATIONAL,DOMESTIC_NATIONAL,NONE,OTHER,Capital of the Qing imperial bureaucracy,"Exceptional national administrative concentration warrants level 3, not generic bureaucracy in every province.",NO,NONE,https://www.cambridge.org/core/books/abs/economic-history-of-china/maturation-of-the-market-economy-1550-to-1800/BB29D69C28CCD393A63409CDCD339328,,
EAST_ASIA_SOUTHEAST_ASIA,CHI,China,STATE_BEIJING,Beijing,building_arms_industry,Arms Industries,1,MEDIUM,MILITARY_STATE_DEMAND,MILITARY_STATE_DEMAND,NONE,STATE_MANUFACTORY,Metropolitan arsenals and large state demand,Conservative single level for organized state arms production serving the capital garrison.,YES,NONE,https://www.cambridge.org/core/books/abs/economic-change-in-china-c18001950/industry-traditional-and-modern/8D80FCFD69BEA6FD1F817BAACD79B3B7,,
EAST_ASIA_SOUTHEAST_ASIA,CHI,China,STATE_BEIJING,Beijing,building_railway,Regional Infrastructure,2,HIGH,DOMESTIC_NATIONAL,DOMESTIC_NATIONAL,NONE,OTHER,Imperial road network and northern terminus of Grand Canal system,"Major maintained transport network; road component level 2, canal connection justified but no rail.",NO,NONE,https://whc.unesco.org/en/list/1443,,ROAD_LEVEL_JUSTIFICATION=2; CANAL_LEVEL_JUSTIFICATION=1; RAIL=pm_no_rail_network
EAST_ASIA_SOUTHEAST_ASIA,CHI,China,STATE_ZHILI,Hebei,building_trade_center,Trade Center,1,MEDIUM,DOMESTIC_NATIONAL,DOMESTIC_NATIONAL,EXPORT_REGIONAL,OTHER,Tianjin/Grand Canal gateway serving Beijing,Regional/national redistribution hub; kept at level 1 because Canton/Jiangnan dominate long-distance commerce.,NO,NONE,https://whc.unesco.org/en/list/1443,,
EAST_ASIA_SOUTHEAST_ASIA,CHI,China,STATE_ZHILI,Hebei,building_port,Port,1,MEDIUM,DOMESTIC_NATIONAL,DOMESTIC_NATIONAL,EXPORT_REGIONAL,OTHER,Organized coastal/river access around Tianjin,One organized port level only.,YES,NONE,https://whc.unesco.org/en/list/1443,,
EAST_ASIA_SOUTHEAST_ASIA,CHI,China,STATE_ZHILI,Hebei,building_salt_pan,Salt Works,1,MEDIUM,DOMESTIC_NATIONAL,DOMESTIC_NATIONAL,NONE,COMMERCIAL_EXTRACTION,Northern coastal salt production,Commercial salt works supplied large northern markets; conservative level 1.,NO,NONE,https://www.cambridge.org/core/journals/annales-histoire-sciences-sociales/article/abs/production-du-sel-et-changement-technique-en-chine/A40AF55B58A2E445AB9328EBF6694D7C,,
EAST_ASIA_SOUTHEAST_ASIA,CHI,China,STATE_ZHILI,Hebei,building_railway,Regional Infrastructure,2,HIGH,DOMESTIC_NATIONAL,DOMESTIC_NATIONAL,NONE,OTHER,Grand Canal and capital road approaches,Strong road and canal justification; no rail.,NO,NONE,https://whc.unesco.org/en/list/1443,,ROAD_LEVEL_JUSTIFICATION=2; CANAL_LEVEL_JUSTIFICATION=2; RAIL=pm_no_rail_network
EAST_ASIA_SOUTHEAST_ASIA,CHI,China,STATE_SHANDONG,Shandong,building_salt_pan,Salt Works,2,MEDIUM,DOMESTIC_NATIONAL,DOMESTIC_NATIONAL,EXPORT_REGIONAL,COMMERCIAL_EXTRACTION,Large coastal salt sector in a core salt-producing province,Level 2 reflects durable commercial salt extraction rather than local pans.,NO,NONE,https://www.cambridge.org/core/journals/annales-histoire-sciences-sociales/article/abs/production-du-sel-et-changement-technique-en-chine/A40AF55B58A2E445AB9328EBF6694D7C,,
EAST_ASIA_SOUTHEAST_ASIA,CHI,China,STATE_SHANDONG,Shandong,building_railway,Regional Infrastructure,2,HIGH,DOMESTIC_NATIONAL,DOMESTIC_NATIONAL,NONE,OTHER,Grand Canal corridor through Shandong,Imperial grain-transport canal and roads justify level 2; no rail.,NO,NONE,https://whc.unesco.org/en/list/1443,,ROAD_LEVEL_JUSTIFICATION=1; CANAL_LEVEL_JUSTIFICATION=2; RAIL=pm_no_rail_network
