hidden_tech_id,hidden_reason,era,category,responsibility_type,object_id,source_file,current_effect,current_status,recommended_target_tech,recommended_target_visible,recommended_target_era,action,confidence,historical_rationale,gameplay_rationale,human_review_required,notes
academia,CAN_RESEARCH_NO_AND_GUI_LEGACY_FILTER,era_7,society,event_technology_trigger,character_events.2,events/character_events.txt,has_technology_researched -> academia; occurrences=1; lines=25,ACTIVE_REFERENCE_TO_HIDDEN_TECH,specialized_technical_academies,YES,era_3,MOVE_TO_VISIBLE_TECH,MEDIUM,"The legacy responsibility of academia should follow its closest visible successor, specialized_technical_academies, in the 1776 tree.",Replacing the non-researchable dependency restores effective access without inventing a technology.,NO,effective_layer=mod; exact source exists at C:/Users/simeo/Documents/Paradox Interactive/Victoria 3/mod/1776_Age_of_Revolutions_fork/events/character_events.txt
academia,CAN_RESEARCH_NO_AND_GUI_LEGACY_FILTER,era_7,society,ideology_technology_trigger,ideology_mitogaku,common/ideologies/01_character_ideologies.txt,has_technology_researched -> academia; occurrences=1; lines=11802,ACTIVE_REFERENCE_TO_HIDDEN_TECH,specialized_technical_academies,YES,era_3,MOVE_TO_VISIBLE_TECH,MEDIUM,"The legacy responsibility of academia should follow its closest visible successor, specialized_technical_academies, in the 1776 tree.",Replacing the non-researchable dependency restores effective access without inventing a technology.,NO,effective_layer=vanilla; exact source exists at C:/Games/Victoria 3/game/common/ideologies/01_character_ideologies.txt
academia,CAN_RESEARCH_NO_AND_GUI_LEGACY_FILTER,era_7,society,ideology_technology_trigger,ideology_modernizer_leader,common/ideologies/01_character_ideologies.txt,has_technology_researched -> academia; occurrences=1; lines=10474,ACTIVE_REFERENCE_TO_HIDDEN_TECH,specialized_technical_academies,YES,era_3,MOVE_TO_VISIBLE_TECH,MEDIUM,"The legacy responsibility of academia should follow its closest visible successor, specialized_technical_academies, in the 1776 tree.",Replacing the non-researchable dependency restores effective access without inventing a technology.,NO,effective_layer=vanilla; exact source exists at C:/Games/Victoria 3/game/common/ideologies/01_character_ideologies.txt
academia,CAN_RESEARCH_NO_AND_GUI_LEGACY_FILTER,era_7,society,interest_group_technology_trigger,ig_intelligentsia,common/interest_groups/00_intelligentsia.txt,has_technology_researched -> academia; occurrences=1; lines=296,ACTIVE_REFERENCE_TO_HIDDEN_TECH,specialized_technical_academies,YES,era_3,MOVE_TO_VISIBLE_TECH,MEDIUM,"The legacy responsibility of academia should follow its closest visible successor, specialized_technical_academies, in the 1776 tree.",Replacing the non-researchable dependency restores effective access without inventing a technology.,NO,effective_layer=vanilla; exact source exists at C:/Games/Victoria 3/game/common/interest_groups/00_intelligentsia.txt
academia,CAN_RESEARCH_NO_AND_GUI_LEGACY_FILTER,era_7,society,party_technology_trigger,free_trade_party,common/parties/free_trade_party.txt,has_technology_researched -> academia; occurrences=1; lines=582,ACTIVE_REFERENCE_TO_HIDDEN_TECH,specialized_technical_academies,YES,era_3,MOVE_TO_VISIBLE_TECH,MEDIUM,"The legacy responsibility of academia should follow its closest visible successor, specialized_technical_academies, in the 1776 tree.",Replacing the non-researchable dependency restores effective access without inventing a technology.,NO,effective_layer=vanilla; exact source exists at C:/Games/Victoria 3/game/common/parties/free_trade_party.txt
academia,CAN_RESEARCH_NO_AND_GUI_LEGACY_FILTER,era_7,society,political_movement_technology_trigger,movement_modernizer,common/political_movements/00_ideological_movements.txt,has_technology_researched -> academia; occurrences=1; lines=7302,ACTIVE_REFERENCE_TO_HIDDEN_TECH,specialized_technical_academies,YES,era_3,MOVE_TO_VISIBLE_TECH,MEDIUM,"The legacy responsibility of academia should follow its closest visible successor, specialized_technical_academies, in the 1776 tree.",Replacing the non-researchable dependency restores effective access without inventing a technology.,NO,effective_layer=mod; exact source exists at C:/Users/simeo/Documents/Paradox Interactive/Victoria 3/mod/1776_Age_of_Revolutions_fork/common/political_movements/00_ideological_movements.txt
academia,CAN_RESEARCH_NO_AND_GUI_LEGACY_FILTER,era_7,society,starting_technology_grant,c:ARG,common/history/countries/arg - argentina.txt,add_technology_researched -> academia; occurrences=1; lines=5,ACTIVE_REFERENCE_TO_HIDDEN_TECH,specialized_technical_academies,YES,era_3,MOVE_TO_VISIBLE_TECH,MEDIUM,"The legacy responsibility of academia should follow its closest visible successor, specialized_technical_academies, in the 1776 tree.",The replacement should preserve country setup strength without granting a hidden technology; verify country by country before implementation.,NO,effective_layer=mod; exact source exists at C:/Users/simeo/Documents/Paradox Interactive/Victoria 3/mod/1776_Age_of_Revolutions_fork/common/history/countries/arg - argentina.txt
academia,CAN_RESEARCH_NO_AND_GUI_LEGACY_FILTER,era_7,society,starting_technology_grant,c:AUS,common/history/countries/aus - austria.txt,add_technology_researched -> academia; occurrences=1; lines=4,ACTIVE_REFERENCE_TO_HIDDEN_TECH,specialized_technical_academies,YES,era_3,MOVE_TO_VISIBLE_TECH,MEDIUM,"The legacy responsibility of academia should follow its closest visible successor, specialized_technical_academies, in the 1776 tree.",The replacement should preserve country setup strength without granting a hidden technology; verify country by country before implementation.,NO,effective_layer=mod; exact source exists at C:/Users/simeo/Documents/Paradox Interactive/Victoria 3/mod/1776_Age_of_Revolutions_fork/common/history/countries/aus - austria.txt
academia,CAN_RESEARCH_NO_AND_GUI_LEGACY_FILTER,era_7,society,starting_technology_grant,c:BEO,common/history/countries/beo - belgium old.txt,add_technology_researched -> academia; occurrences=1; lines=4,ACTIVE_REFERENCE_TO_HIDDEN_TECH,specialized_technical_academies,YES,era_3,MOVE_TO_VISIBLE_TECH,MEDIUM,"The legacy responsibility of academia should follow its closest visible successor, specialized_technical_academies, in the 1776 tree.",The replacement should preserve country setup strength without granting a hidden technology; verify country by country before implementation.,NO,effective_layer=mod; exact source exists at C:/Users/simeo/Documents/Paradox Interactive/Victoria 3/mod/1776_Age_of_Revolutions_fork/common/history/countries/beo - belgium old.txt
academia,CAN_RESEARCH_NO_AND_GUI_LEGACY_FILTER,era_7,society,starting_technology_grant,c:BIC,common/history/countries/bic - british east india company.txt,add_technology_researched -> academia; occurrences=1; lines=7,ACTIVE_REFERENCE_TO_HIDDEN_TECH,specialized_technical_academies,YES,era_3,MOVE_TO_VISIBLE_TECH,MEDIUM,"The legacy responsibility of academia should follow its closest visible successor, specialized_technical_academies, in the 1776 tree.",The replacement should preserve country setup strength without granting a hidden technology; verify country by country before implementation.,NO,effective_layer=mod; exact source exists at C:/Users/simeo/Documents/Paradox Interactive/Victoria 3/mod/1776_Age_of_Revolutions_fork/common/history/countries/bic - british east india company.txt
