tech_id,era,family,current_prerequisites,proposed_prerequisites,removed_prerequisites,added_prerequisites,reason,incoming_count_after,outgoing_count_after,dead_end_after,decision
analytical_philosophy,era_11,philosophy_psychology,psychoanalysis,specialized_professional_societies,psychoanalysis,specialized_professional_societies,Professional scholarly societies provide the institutional exchange needed to establish formal analytical philosophy as a discipline.,1,0,yes,RECONSTRUCT
anarchism,era_7,political_ideologies,early_socialism_cooperativism,early_socialism_cooperativism,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,0,yes,KEEP
aniline,era_8,industrial_materials,rubber_mastication,fractional_distillation,rubber_mastication,fractional_distillation,Fractional processing of coal-tar feedstocks supplies the chemical intermediates used by the aniline-dye industry.,1,1,no,RECONSTRUCT
antibiotics,era_12,public_health,malaria_prevention,pharmaceuticals;experimental_research_laboratories,malaria_prevention,pharmaceuticals;experimental_research_laboratories,Industrial pharmaceutical chemistry and manufacturing are direct prerequisites for producing antibiotic medicines. Controlled laboratory screening and microbiological experimentation are required to discover and validate antibiotics.,2,0,no,RECONSTRUCT
arc_welding,era_12,steel_metallurgy,electric_arc_process;pneumatic_tools,electric_arc_process,pneumatic_tools,,Weak or arbitrary prerequisites are removed; the remaining prerequisites are sufficient and independently justified.,1,0,no,RECONSTRUCT
art_silk,era_10,industrial_materials,aniline,aniline,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,1,no,KEEP
automatic_bottle_blowers,era_10,food_industrialization,vulcanization,pressed_glass,vulcanization,pressed_glass,Mechanized bottle forming presupposes standardized industrial glass composition and forming practice.,1,0,yes,RECONSTRUCT
automatic_machine_guns,era_11,infantry_weapons,handcranked_machine_gun;bolt_action_rifles,handcranked_machine_gun;bolt_action_rifles,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",2,1,no,KEEP
baking_powder,era_7,food_industrialization,fractional_distillation,industrial_acids,fractional_distillation,industrial_acids,Industrial acid and alkali chemistry supplies the controlled reagents required for commercial baking-powder manufacture.,1,0,yes,RECONSTRUCT
battlefleet_tactics,era_12,naval_doctrine,battleship_tech;sea_lane_strategies,dreadnought_tech;sea_lane_strategies;destroyer,battleship_tech,dreadnought_tech;destroyer,Battlefleet doctrine presupposes operational experience with dreadnought-class capital ships. Integrated battlefleet tactics require mastery of destroyer screening and torpedo-defense operations.,3,0,no,RECONSTRUCT
battleship_tech,era_12,naval_hulls,dreadnought_tech,dreadnought_tech;concrete_dockyards,,concrete_dockyards,Very large battleships require dockyard structures capable of constructing and servicing capital hulls.,2,0,no,RECONSTRUCT
behaviorism,era_11,philosophy_psychology,psychoanalysis,experimental_research_laboratories;philosophical_pragmatism,psychoanalysis,experimental_research_laboratories;philosophical_pragmatism,Controlled experimental laboratories supply the empirical method required for behaviorist psychology. Pragmatist and functionalist emphasis on observable consequences directly prepares behaviorist methodology.,2,0,yes,RECONSTRUCT
bessemer_process,era_7,steel_metallurgy,hot_blast_smelting,hot_blast_smelting,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,3,no,KEEP
bolt_action_rifles,era_9,infantry_weapons,repeaters,repeaters,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,1,no,KEEP
